200,100,1968,00:01:683
200,100,2082,00:03:889
200,100,1859,00:00:272
200,100,1778,00:00:531
200,100,1896,00:00:875
200,100,1624,00:00:144
200,100,1939,00:01:127
200,100,2061,00:01:252
200,100,1724,00:00:539
200,100,1605,00:00:201
200,100,1741,00:00:373
200,100,1946,00:01:574
200,100,1882,00:00:682
200,100,2186,00:04:047
200,100,1857,00:00:450
200,100,1978,00:01:014
200,100,2080,00:02:227
200,100,1852,00:00:636
200,100,1660,00:00:461
200,100,1903,00:00:990
200,100,1955,00:00:592
200,100,1981,00:01:542
200,100,1858,00:00:534
200,100,2018,00:01:235
200,100,1788,00:00:318
200,100,1949,00:01:444
200,100,1756,00:00:358
200,100,1917,00:01:459
200,100,1913,00:00:558
200,100,1997,00:01:236
200,100,1765,00:00:382
200,100,1710,00:00:291
200,100,2109,00:02:479
200,100,1986,00:01:823
200,100,1801,00:00:844
200,100,1679,00:00:158
200,100,1957,00:01:057
200,100,1812,00:00:723
200,100,1898,00:01:411
200,100,1999,00:00:548
